driver_name,driver_id,category,issue,action,priority,potential_gain,estimated_new_lap,current_best_lap,avg_speed,avg_throttle,avg_brake,avg_rpm
Car #47,47,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,100.327s,100.57665252685548,129.91504708863783,67.06082734329419,6.7069077360189135,6000
Car #47,47,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,100.177s,100.57665252685548,129.91504708863783,67.06082734329419,6.7069077360189135,6000
Car #13,13,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,100.558s,100.80815442336424,129.4312988774585,67.29995281380297,6.702233042289045,6000
Car #13,13,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,100.408s,100.80815442336424,129.4312988774585,67.29995281380297,6.702233042289045,6000
Car #98,98,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,100.817s,101.06749725341795,128.49165961091254,65.45276358762463,6.546367777887659,6000
Car #98,98,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,100.667s,101.06749725341795,128.49165961091254,65.45276358762463,6.546367777887659,6000
Car #113,113,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,100.874s,101.12419594847351,128.57293547981223,64.9251631168628,5.7386232805404855,6000
Car #113,113,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,100.724s,101.12419594847351,128.57293547981223,64.9251631168628,5.7386232805404855,6000
Car #16,16,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,100.945s,101.19499206542967,127.01803535980913,64.5795048133033,6.847192292390241,6000
Car #16,16,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,100.795s,101.19499206542967,127.01803535980913,64.5795048133033,6.847192292390241,6000
Car #46,46,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,101.228s,101.47791290283205,130.65601601743853,66.5065105345104,5.935759228109485,6000
Car #46,46,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,101.078s,101.47791290283205,130.65601601743853,66.5065105345104,5.935759228109485,6000
Car #21,21,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,101.768s,102.01824188232422,128.63991495400012,66.1069272911767,7.056116382248342,6000
Car #21,21,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,101.618s,102.01824188232422,128.63991495400012,66.1069272911767,7.056116382248342,6000
Car #89,89,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,101.774s,102.02420806884766,127.87566072835449,65.09372725675128,6.137354798884451,6000
Car #89,89,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,101.624s,102.02420806884766,127.87566072835449,65.09372725675128,6.137354798884451,6000
Car #88,88,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,101.797s,102.04706573486328,128.43835226880842,67.4718242302124,6.374999405669489,6000
Car #88,88,Fundamental Development,Novice experience level indicates foundational skill development opportunity,"Master basic racing line and braking points before advanced techniques. Focus on smooth, consistent inputs.",Medium,0.30-0.50s per lap,101.647s,102.04706573486328,128.43835226880842,67.4718242302124,6.374999405669489,6000
Car #2,2,Consistency Development,Consistency rating of 0.0% indicates performance variation,Focus on repeatable reference points and standardized technique. Build consistent lap time baseline before pushing for speed.,Medium,0.20-0.35s per lap,101.895s,102.1450795909289,126.12503250208592,63.154013641833274,5.853719301004919,6000
