driver_name,driver_id,category,issue,action,priority,potential_gain,estimated_new_lap,current_best_lap,avg_speed,avg_throttle,avg_brake,avg_rpm
GR86-025-47,47,Consistency Development,High lap time volatility (±17.759s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,100.143s,100.343,129.91504708863783,67.06082734329419,6.7069077360189135,6071.406328076967
GR86-022-13,13,Consistency Development,High lap time volatility (±19.517s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,99.901s,100.101,129.4312988774585,67.29995281380297,6.702233042289045,6096.530131686396
GR86-036-98,98,Consistency Development,High lap time volatility (±19.605s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,99.898s,100.098,128.49165961091254,65.45276358762463,6.546367777887659,5936.540997642718
GR86-063-113,113,Throttle Control Refinement,Aggressive throttle application causing traction loss and inconsistency,Practice progressive throttle application from 60% to 100% through corner exit. Focus on smoothness over aggression. The slow corners in this sector punish throttle inconsistency — smooth application is crucial.,HIGH,0.15-0.25s per lap,96.663s,96.863,128.57293547981223,64.9251631168628,5.7386232805404855,6096.741622458385
GR86-063-113,113,Consistency Development,High lap time volatility (±19.074s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,96.663s,96.863,128.57293547981223,64.9251631168628,5.7386232805404855,6096.741622458385
GR86-010-16,16,Consistency Development,High lap time volatility (±24.909s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,99.910s,100.11,127.01803535980913,64.5795048133033,6.847192292390241,5983.846107769893
GR86-033-46,46,Consistency Development,High lap time volatility (±17.345s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,100.047s,100.247,130.65601601743853,66.5065105345104,5.935759228109485,6218.800472642055
GR86-047-21,21,Consistency Development,High lap time volatility (±17.940s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,100.464s,100.664,128.63991495400012,66.1069272911767,7.056116382248342,6018.296874834569
GR86-028-89,89,Consistency Development,High lap time volatility (±22.213s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,100.959s,101.159,127.87566072835449,65.09372725675128,6.137354798884451,5960.664724198034
GR86-049-88,88,Consistency Development,High lap time volatility (±18.751s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,100.214s,100.414,128.43835226880842,67.4718242302124,6.374999405669489,6037.143456120277
GR86-060-2,2,Throttle Control Refinement,Aggressive throttle application causing traction loss and inconsistency,Practice progressive throttle application from 60% to 100% through corner exit. Focus on smoothness over aggression. The slow corners in this sector punish throttle inconsistency — smooth application is crucial.,HIGH,0.15-0.25s per lap,101.187s,101.387,126.12503250208592,63.154013641833274,5.853719301004919,6132.633291448778
GR86-060-2,2,Consistency Development,High lap time volatility (±23.019s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,101.187s,101.387,126.12503250208592,63.154013641833274,5.853719301004919,6132.633291448778
GR86-016-55,55,Throttle Control Refinement,Aggressive throttle application causing traction loss and inconsistency,Practice progressive throttle application from 60% to 100% through corner exit. Focus on smoothness over aggression. The slow corners in this sector punish throttle inconsistency — smooth application is crucial.,HIGH,0.15-0.25s per lap,97.878s,98.078,126.31421602487636,64.70038463011977,5.503796150523771,6032.78122696427
GR86-016-55,55,Consistency Development,High lap time volatility (±25.324s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,97.878s,98.078,126.31421602487636,64.70038463011977,5.503796150523771,6032.78122696427
GR86-038-93,93,Consistency Development,High lap time volatility (±17.840s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,101.845s,102.045,127.61592622804568,65.37948504582387,6.756606160325255,6083.091832807507
GR86-038-93,93,Fundamental Pace Development,Currently in bottom 79% of field with significant pace deficit,"Focus on fundamental driving technique: racing line, braking points, throttle application. Master the basics before advanced techniques.",HIGH,0.50-1.00s per lap,101.845s,102.045,127.61592622804568,65.37948504582387,6.756606160325255,6083.091832807507
GR86-065-5,5,Consistency Development,High lap time volatility (±17.613s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,100.751s,100.951,129.35037922676517,67.14391761262999,6.608926018805182,5970.669485209062
GR86-040-3,3,Consistency Development,High lap time volatility (±14.486s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,102.174s,102.374,129.77351080702445,69.14120177920579,6.654937120548126,5989.928760002023
GR86-040-3,3,Fundamental Pace Development,Currently in bottom 88% of field with significant pace deficit,"Focus on fundamental driving technique: racing line, braking points, throttle application. Master the basics before advanced techniques.",HIGH,0.50-1.00s per lap,102.174s,102.374,129.77351080702445,69.14120177920579,6.654937120548126,5989.928760002023
GR86-030-18,18,Consistency Development,High lap time volatility (±16.584s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,101.676s,101.876,128.1523612776295,64.85632147063994,5.327756041845059,5843.506594755372
GR86-030-18,18,Fundamental Pace Development,Currently in bottom 71% of field with significant pace deficit,"Focus on fundamental driving technique: racing line, braking points, throttle application. Master the basics before advanced techniques.",HIGH,0.50-1.00s per lap,101.676s,101.876,128.1523612776295,64.85632147063994,5.327756041845059,5843.506594755372
GR86-012-8,8,Consistency Development,High lap time volatility (±14.042s) limiting performance,Focus on repeatable reference points and standardized technique before chasing speed. Consistency is the foundation of speed. Address this first.,HIGH,0.20-0.40s per lap,103.445s,103.645,126.84138958650237,66.93423336082145,5.489764693428292,5883.395774544453
GR86-012-8,8,Fundamental Pace Development,Currently in bottom 96% of field with significant pace deficit,"Focus on fundamental driving technique: racing line, braking points, throttle application. Master the basics before advanced techniques.",HIGH,0.50-1.00s per lap,103.445s,103.645,126.84138958650237,66.93423336082145,5.489764693428292,5883.395774544453
